geoid,USPS,pop2019est
06003,CA,1129
06091,CA,3005
06049,CA,8841
06105,CA,12285
06051,CA,14444
06043,CA,17203
06027,CA,18039
06063,CA,18807
06011,CA,21547
06021,CA,28393
06015,CA,27812
06035,CA,30573
06005,CA,39752
06093,CA,43539
06009,CA,45905
06069,CA,62808
06109,CA,54478
06103,CA,65084
06033,CA,64386
06115,CA,78668
06045,CA,86749
06101,CA,96971
06057,CA,99755
06023,CA,135558
06055,CA,137744
06039,CA,157327
06031,CA,152940
06025,CA,181215
06089,CA,180080
06017,CA,192843
06113,CA,220500
06007,CA,219186
06041,CA,258826
06047,CA,277680
06087,CA,273213
06079,CA,283111
06061,CA,398329
06095,CA,447643
06053,CA,434061
06083,CA,446499
06107,CA,466195
06097,CA,494336
06099,CA,550660
06077,CA,762148
06081,CA,766573
06075,CA,881549
06111,CA,846006
06029,CA,900202
06019,CA,999101
06013,CA,1153526
06067,CA,1552058
06001,CA,1671329
06085,CA,1927852
06071,CA,2180085
06065,CA,2470546
06059,CA,3175692
06073,CA,3338330
06037,CA,10039107
